,Handle,Title,Vendor,Tags,Variant Price,Variant Compare At Price,Option1 Value,Option1 Name,Option2 Value,Option2 Name,Image Src,Image Position
0,floral-print-o-neck-maxi-dress,"
    

    
      Floral Print O Neck Maxi Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Light brown,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/721_720x720_crop_center.jpg?v=1647834887,1
1,floral-print-o-neck-maxi-dress,"
    

    
      Floral Print O Neck Maxi Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Light brown,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/1_4100eb90-343f-43fb-aae3-68e2d6a7d7d1_720x720_crop_center.webp?v=1647834887,2
2,floral-print-o-neck-maxi-dress,"
    

    
      Floral Print O Neck Maxi Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Light brown,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/2_c05518a5-62f6-452a-8ff6-a04843564c89_720x720_crop_center.webp?v=1647834887,3
3,floral-print-o-neck-maxi-dress,"
    

    
      Floral Print O Neck Maxi Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Light brown,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/3_8de09dda-6da3-4964-8b37-a0fafe6e4d77_720x720_crop_center.webp?v=1647834887,4
4,floral-print-o-neck-maxi-dress,"
    

    
      Floral Print O Neck Maxi Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Light brown,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/4_8653c081-b0a1-4971-8608-f7e4ec3cb81c_720x720_crop_center.webp?v=1647834887,5
5,long-sleeve-flower-print-loose-dress,"
    

    
      Long Sleeve Flower Print Loose Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Purpel,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/228_720x720_crop_center.jpg?v=1647844801,1
6,long-sleeve-flower-print-loose-dress,"
    

    
      Long Sleeve Flower Print Loose Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Purpel,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/1_0f8fefea-d913-40fb-a384-ada50a7a7f91_720x720_crop_center.jpg?v=1647844801,2
7,long-sleeve-flower-print-loose-dress,"
    

    
      Long Sleeve Flower Print Loose Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",Purpel,"
                              Size
                            ",XXL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/2_c75328bd-6771-4ace-ad36-90319725ad47_720x720_crop_center.jpg?v=1647844801,3
8,flower-printing-long-sleeve-dress,"
    

    
      Flower Printing Long Sleeve Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",White Flower,"
                              Size
                            ",5XL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/3_b5028ff0-1413-4a14-9dfd-799c45e7550f_720x720_crop_center.jpg?v=1647508083,1
9,flower-printing-long-sleeve-dress,"
    

    
      Flower Printing Long Sleeve Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",White Flower,"
                              Size
                            ",5XL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/2_12d2183e-fb5f-46fc-a4bc-f9e7a8541079_720x720_crop_center.jpg?v=1647508085,2
10,flower-printing-long-sleeve-dress,"
    

    
      Flower Printing Long Sleeve Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",White Flower,"
                              Size
                            ",5XL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/4_29b2aff3-4eab-498f-bdfd-74dc86ac2d2a_720x720_crop_center.jpg?v=1647508084,3
11,flower-printing-long-sleeve-dress,"
    

    
      Flower Printing Long Sleeve Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",White Flower,"
                              Size
                            ",5XL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/5_4dc233f8-de8b-4fa4-8c59-fba382723729_720x720_crop_center.jpg?v=1647508084,4
12,flower-printing-long-sleeve-dress,"
    

    
      Flower Printing Long Sleeve Dress
    

    
  ",NEW-202203211,Dress,32.99,64.99,"
                              Color
                            ",White Flower,"
                              Size
                            ",5XL,https://cdn.shopify.com/s/files/1/0592/0410/8462/products/77_68813379-577e-4d49-a137-6dbbb01d1631_720x720_crop_center.jpg?v=1647508084,5
